"統計期","捷運站別","進站人次","出站人次","進站人次增減率[%]","出站人次增減率[%]"
"85年","松山機場",0,0,0,0
"85年","中山國中",1670933,1609386,0,0
"85年","南京復興BR",1658030,1683302,0,0
"85年","忠孝復興BR",1600873,1740330,0,0
"85年","大安BR",969458,936524,0,0
"85年","科技大樓",989427,929607,0,0
"85年","六張犁",868224,831011,0,0
"85年","麟光",336678,321650,0,0
"85年","辛亥",342758,316168,0,0
"85年","萬芳醫院",934657,917936,0,0
"85年","萬芳社區",283673,254289,0,0
"85年","木柵",416126,432197,0,0
"85年","動物園",1133552,1231989,0,0
"85年","大直",0,0,0,0
"85年","劍南路",0,0,0,0
"85年","西湖",0,0,0,0
"85年","港墘",0,0,0,0
"85年","文德",0,0,0,0
"85年","內湖",0,0,0,0
"85年","大湖公園",0,0,0,0
"85年","葫洲",0,0,0,0
"85年","東湖",0,0,0,0
"85年","南港軟體園區",0,0,0,0
"85年","南港展覽館BR",0,0,0,0
"85年","小碧潭",0,0,0,0
"85年","新店",0,0,0,0
"85年","新店區公所",0,0,0,0
"85年","七張",0,0,0,0
"85年","大坪林",0,0,0,0
"85年","景美",0,0,0,0
"85年","萬隆",0,0,0,0
"85年","公館",0,0,0,0
"85年","台電大樓",0,0,0,0
"85年","古亭",0,0,0,0
"85年","中正紀念堂",0,0,0,0
"85年","小南門",0,0,0,0
"85年","頂溪",0,0,0,0
"85年","永安市場",0,0,0,0
"85年","景安",0,0,0,0
"85年","南勢角",0,0,0,0
"85年","台大醫院",0,0,0,0
"85年","台北車站BL",0,0,0,0
"85年","台北車站R",0,0,0,0
"85年","中山R",0,0,0,0
"85年","雙連",0,0,0,0
"85年","民權西路R",0,0,0,0
"85年","圓山",0,0,0,0
"85年","劍潭",0,0,0,0
"85年","士林",0,0,0,0
"85年","芝山",0,0,0,0
"85年","明德",0,0,0,0
"85年","石牌",0,0,0,0
"85年","唭哩岸",0,0,0,0
"85年","奇岩",0,0,0,0
"85年","北投",0,0,0,0
"85年","新北投",0,0,0,0
"85年","復興崗",0,0,0,0
"85年","忠義",0,0,0,0
"85年","關渡",0,0,0,0
"85年","竹圍",0,0,0,0
"85年","紅樹林",0,0,0,0
"85年","淡水",0,0,0,0
"85年","頂埔",0,0,0,0
"85年","永寧",0,0,0,0
"85年","土城",0,0,0,0
"85年","海山",0,0,0,0
"85年","亞東醫院",0,0,0,0
"85年","府中",0,0,0,0
"85年","板橋",0,0,0,0
"85年","新埔",0,0,0,0
"85年","江子翠",0,0,0,0
"85年","龍山寺",0,0,0,0
"85年","西門",0,0,0,0
"85年","善導寺",0,0,0,0
"85年","忠孝新生BL",0,0,0,0
"85年","忠孝復興BL",0,0,0,0
"85年","忠孝敦化",0,0,0,0
"85年","國父紀念館",0,0,0,0
"85年","市政府",0,0,0,0
"85年","永春",0,0,0,0
"85年","後山埤",0,0,0,0
"85年","昆陽",0,0,0,0
"85年","南港",0,0,0,0
"85年","南港展覽館BL",0,0,0,0
"85年","象山",0,0,0,0
"85年","台北101/世貿",0,0,0,0
"85年","信義安和",0,0,0,0
"85年","大安R",0,0,0,0
"85年","大安森林公園",0,0,0,0
"85年","北門",0,0,0,0
"85年","中山G",0,0,0,0
"85年","松江南京G",0,0,0,0
"85年","南京復興G",0,0,0,0
"85年","台北小巨蛋",0,0,0,0
"85年","南京三民",0,0,0,0
"85年","松山",0,0,0,0
"85年","輔大",0,0,0,0
"85年","新莊",0,0,0,0
"85年","頭前庄",0,0,0,0
"85年","先嗇宮",0,0,0,0
"85年","三重",0,0,0,0
"85年","菜寮",0,0,0,0
"85年","台北橋",0,0,0,0
"85年","大橋頭",0,0,0,0
"85年","民權西路O",0,0,0,0
"85年","中山國小",0,0,0,0
"85年","行天宮",0,0,0,0
"85年","松江南京O",0,0,0,0
"85年","忠孝新生O",0,0,0,0
"85年","東門",0,0,0,0
"85年","蘆洲",0,0,0,0
"85年","三民高中",0,0,0,0
"85年","徐匯中學",0,0,0,0
"85年","三和國中",0,0,0,0
"85年","三重國小",0,0,0,0
"85年","迴龍",0,0,0,0
"85年","丹鳳",0,0,0,0
"85年","大坪林Y",0,0,0,0
"85年","十四張",0,0,0,0
"85年","秀朗橋",0,0,0,0
"85年","景平",0,0,0,0
"85年","景安Y",0,0,0,0
"85年","中和",0,0,0,0
"85年","橋和",0,0,0,0
"85年","中原",0,0,0,0
"85年","板新",0,0,0,0
"85年","板橋Y",0,0,0,0
"85年","新埔民生",0,0,0,0
"85年","頭前庄Y",0,0,0,0
"85年","幸福",0,0,0,0
"85年","新北產業園區",0,0,0,0
"85年","一日票",0,0,0,0
"85年","團體票",0,0,0,0
